model,mode,status,num_images,device,batch_size,precision_micro,recall_micro,f1_micro,time_total_s,time_per_image_ms,images_per_second,error
resnet18,cnn,ok,1532.0,cpu,1.0,0.9673629242819843,0.9673629242819843,0.9673629242819843,21.466830506222323,14.01229145314773,71.36591494286678,
resnet18,svm,ok,1532.0,cpu,1.0,0.9693211488250653,0.9693211488250653,0.9693211488250653,22.78749340074137,14.874342950875567,67.22986039132141,
resnet50,cnn,ok,1532.0,cpu,1.0,0.9138381201044387,0.9138381201044387,0.9138381201044387,56.02744629676454,36.57144014149121,27.343741349290617,
resnet50,svm,ok,1532.0,cpu,1.0,0.9001305483028721,0.9001305483028721,0.9001305483028721,57.610152900218964,37.60453844661812,26.592534872341524,
convnext_tiny,cnn,ok,1532.0,cpu,1.0,0.9895561357702349,0.9895561357702349,0.9895561357702349,48.36663570115343,31.57091103208448,31.674727377481528,
convnext_tiny,svm,ok,1532.0,cpu,1.0,0.9980417754569191,0.9980417754569191,0.9980417754569191,49.60685689654201,32.38045489330418,30.882827412248172,
yolov8,yolo,ok,1532,cpu,1,0.9171018276762402,0.9171018276762402,0.9171018276762402,0.9119037123471196,0.9205424714785948,0.9151389061535677,10.75610460457392,7.02095600820752,142.4307457319198,586,38,89,819,0->1;1->0,D:\nghia_ct6\data_thuc_nghiem\eval_cross_x\danh_gia\cross\deploy_yolov8\weights\best.pt,

