model,mode,status,num_images,device,batch_size,precision_micro,recall_micro,f1_micro,time_total_s,time_per_image_ms,images_per_second,error
resnet18,cnn,ok,6280,cpu,1,0.9621019108280254,0.9621019108280254,0.9621019108280254,356.4839023104869,56.76495259721129,17.616503744761822,
resnet18,svm,ok,6280,cpu,1,0.9745222929936306,0.9745222929936306,0.9745222929936306,364.1955880105961,57.992928027164986,17.243481817844774,
resnet50,cnn,ok,6280,cpu,1,0.9670382165605096,0.9670382165605096,0.9670382165605096,948.2972204983234,151.00274211756744,6.622396295435628,
resnet50,svm,ok,6280,cpu,1,0.9689490445859873,0.9689490445859873,0.9689490445859873,948.8549005070236,151.0915446667235,6.618504048031224,
convnext_tiny,cnn,ok,6280,cpu,1,0.9936305732484076,0.9936305732484076,0.9936305732484076,984.4123505882453,156.7535590108671,6.37944048167145,
convnext_tiny,svm,ok,6280,cpu,1,0.992515923566879,0.992515923566879,0.992515923566879,974.5532758042682,155.18364264399176,6.443978134307038,
